scenario_label,representative_path_zscore,step_index,time_years,price_per_share_usd,titan_stake_pct,call_live,put_live,call_strike_pv_per_share_usd,put_strike_pv_per_share_usd,call_intrinsic_per_share_usd,put_intrinsic_per_share_usd,wait_value_usd_m,best_call_target_pct,best_call_value_usd_m,put_value_usd_m,optimal_action,optimal_target_pct,state_value_usd_m
base,0.0,1260,5.0,668.225303,20.0,1,1,683.14392,681.833333,0.0,13.60803,-64.666219,0.0,-7.544401,-15.088801,call,0.0,-7.544401
base,0.0,1260,5.0,668.225303,15.0,1,1,683.14392,681.833333,0.0,13.60803,-48.499665,0.0,-5.6583,-11.316601,call,0.0,-5.6583
base,0.0,1260,5.0,668.225303,10.0,1,1,683.14392,681.833333,0.0,13.60803,-32.33311,0.0,-3.7722,-7.544401,call,0.0,-3.7722
base,0.0,1260,5.0,668.225303,7.0,1,1,683.14392,681.833333,0.0,13.60803,-22.633177,0.0,-2.64054,-5.28108,call,0.0,-2.64054
base,0.0,1512,6.0,688.087078,25.0,0,1,711.835965,709.7885,0.0,21.701421,0.0,,,-30.078604,put,0.0,-30.078604
base,0.0,1512,6.0,688.087078,20.0,0,1,711.835965,709.7885,0.0,21.701421,0.0,,,-24.062883,put,0.0,-24.062883
base,0.0,1512,6.0,688.087078,15.0,0,1,711.835965,709.7885,0.0,21.701421,0.0,,,-18.047162,put,0.0,-18.047162
base,0.0,1512,6.0,688.087078,10.0,0,1,711.835965,709.7885,0.0,21.701421,0.0,,,-12.031442,put,0.0,-12.031442
base,0.0,1512,6.0,688.087078,7.0,0,1,711.835965,709.7885,0.0,21.701421,0.0,,,-8.422009,put,0.0,-8.422009
high,1.0,0,0.0,577.192248,25.0,0,0,577.192248,577.192248,0.0,0.0,144.076408,,,,wait,25.0,144.076408
high,1.0,0,0.0,577.192248,20.0,0,0,577.192248,577.192248,0.0,0.0,115.261126,,,,wait,20.0,115.261126
high,1.0,0,0.0,577.192248,15.0,0,0,577.192248,577.192248,0.0,0.0,86.445845,,,,wait,15.0,86.445845
high,1.0,0,0.0,577.192248,10.0,0,0,577.192248,577.192248,0.0,0.0,57.630563,,,,wait,10.0,57.630563
high,1.0,0,0.0,577.192248,7.0,0,0,577.192248,577.192248,0.0,0.0,40.341394,,,,wait,7.0,40.341394
high,1.0,252,1.0,725.93857,25.0,0,0,593.065035,593.065035,0.0,0.0,255.88451,,,,wait,25.0,255.88451
high,1.0,252,1.0,725.93857,20.0,0,0,593.065035,593.065035,0.0,0.0,204.707608,,,,wait,20.0,204.707608
high,1.0,252,1.0,725.93857,15.0,0,0,593.065035,593.065035,0.0,0.0,153.530706,,,,wait,15.0,153.530706
high,1.0,252,1.0,725.93857,10.0,0,0,593.065035,593.065035,0.0,0.0,102.353804,,,,wait,10.0,102.353804
high,1.0,252,1.0,725.93857,7.0,0,0,593.065035,593.065035,0.0,0.0,71.647663,,,,wait,7.0,71.647663
high,1.0,504,2.0,812.079393,25.0,0,0,610.856986,610.856986,0.0,0.0,311.541971,,,,wait,25.0,311.541971
high,1.0,504,2.0,812.079393,20.0,0,0,610.856986,610.856986,0.0,0.0,249.233576,,,,wait,20.0,249.233576
high,1.0,504,2.0,812.079393,15.0,0,0,610.856986,610.856986,0.0,0.0,186.925182,,,,wait,15.0,186.925182
high,1.0,504,2.0,812.079393,10.0,0,0,610.856986,610.856986,0.0,0.0,124.616788,,,,wait,10.0,124.616788
high,1.0,504,2.0,812.079393,7.0,0,0,610.856986,610.856986,0.0,0.0,87.231752,,,,wait,7.0,87.231752
high,1.0,756,3.0,891.099023,25.0,1,0,629.182696,629.182696,261.916327,0.0,367.130041,20.0,366.308287,,wait,25.0,367.130041
high,1.0,756,3.0,891.099023,20.0,1,0,629.182696,629.182696,261.916327,0.0,293.704033,15.0,292.882278,,wait,20.0,293.704033
high,1.0,756,3.0,891.099023,15.0,1,0,629.182696,629.182696,261.916327,0.0,220.278025,10.0,219.45627,,wait,15.0,220.278025
high,1.0,756,3.0,891.099023,10.0,1,0,629.182696,629.182696,261.916327,0.0,146.852017,0.0,145.208507,,wait,10.0,146.852017
high,1.0,756,3.0,891.099023,7.0,1,0,629.182696,629.182696,261.916327,0.0,102.796412,0.0,101.645955,,wait,7.0,102.796412
high,1.0,882,3.5,929.694591,25.0,1,1,642.259637,641.951377,287.434954,0.0,199.210819,0.0,199.195298,-0.0,call,0.0,199.195298
high,1.0,882,3.5,929.694591,20.0,1,1,642.259637,641.951377,287.434954,0.0,159.368655,0.0,159.356238,-0.0,call,0.0,159.356238
high,1.0,882,3.5,929.694591,15.0,1,1,642.259637,641.951377,287.434954,0.0,119.526491,0.0,119.517179,-0.0,call,0.0,119.517179
high,1.0,882,3.5,929.694591,10.0,1,1,642.259637,641.951377,287.434954,0.0,79.684328,0.0,79.678119,-0.0,call,0.0,79.678119
high,1.0,882,3.5,929.694591,7.0,1,1,642.259637,641.951377,287.434954,0.0,55.779029,0.0,55.774683,-0.0,call,0.0,55.774683
high,1.0,1008,4.0,968.100009,25.0,1,1,655.608369,654.979186,312.49164,0.0,216.575698,0.0,216.559831,-0.0,call,0.0,216.559831
high,1.0,1008,4.0,968.100009,20.0,1,1,655.608369,654.979186,312.49164,0.0,173.260559,0.0,173.247865,-0.0,call,0.0,173.247865
high,1.0,1008,4.0,968.100009,15.0,1,1,655.608369,654.979186,312.49164,0.0,129.945419,0.0,129.935899,-0.0,call,0.0,129.935899
high,1.0,1008,4.0,968.100009,10.0,1,1,655.608369,654.979186,312.49164,0.0,86.630279,0.0,86.623933,-0.0,call,0.0,86.623933
high,1.0,1008,4.0,968.100009,7.0,1,1,655.608369,654.979186,312.49164,0.0,60.641196,0.0,60.636753,-0.0,call,0.0,60.636753
high,1.0,1260,5.0,1045.069838,25.0,1,1,683.14392,681.833333,361.925917,0.0,-1.291916,0.0,250.81828,-0.0,call,0.0,250.81828
high,1.0,1260,5.0,1045.069838,20.0,1,1,683.14392,681.833333,361.925917,0.0,-1.033533,0.0,200.654624,-0.0,call,0.0,200.654624
high,1.0,1260,5.0,1045.069838,15.0,1,1,683.14392,681.833333,361.925917,0.0,-0.77515,0.0,150.490968,-0.0,call,0.0,150.490968
high,1.0,1260,5.0,1045.069838,10.0,1,1,683.14392,681.833333,361.925917,0.0,-0.516767,0.0,100.327312,-0.0,call,0.0,100.327312
high,1.0,1260,5.0,1045.069838,7.0,1,1,683.14392,681.833333,361.925917,0.0,-0.361737,0.0,70.229118,-0.0,call,0.0,70.229118
high,1.0,1512,6.0,1123.061083,25.0,0,1,711.835965,709.7885,0.0,0.0,0.0,,,-0.0,put,0.0,0.0
high,1.0,1512,6.0,1123.061083,20.0,0,1,711.835965,709.7885,0.0,0.0,0.0,,,-0.0,put,0.0,0.0
high,1.0,1512,6.0,1123.061083,15.0,0,1,711.835965,709.7885,0.0,0.0,0.0,,,-0.0,put,0.0,0.0
high,1.0,1512,6.0,1123.061083,10.0,0,1,711.835965,709.7885,0.0,0.0,0.0,,,-0.0,put,0.0,0.0
high,1.0,1512,6.0,1123.061083,7.0,0,1,711.835965,709.7885,0.0,0.0,0.0,,,-0.0,put,0.0,0.0
