step_index,time_years,steps_per_year_model,call_live,put_live,call_coupon_rate_pct,put_coupon_rate_pct,call_model_daily_roll_pct,put_model_daily_roll_pct,call_completion_time_years,put_completion_time_years,call_strike_completion_per_share_usd,call_strike_pv_per_share_usd,put_strike_completion_per_share_usd,put_strike_pv_per_share_usd
63,0.25,252,0,0,2.75,2.75,0.01076592,0.01076592,0.25,0.25,581.120167,581.120167,581.120167,581.120167
64,0.253968,252,0,0,2.75,2.75,0.01076592,0.01076592,0.253968,0.253968,581.18273,581.18273,581.18273,581.18273
65,0.257937,252,0,0,2.75,2.75,0.01076592,0.01076592,0.257937,0.257937,581.2453,581.2453,581.2453,581.2453
66,0.261905,252,0,0,2.75,2.75,0.01076592,0.01076592,0.261905,0.261905,581.307876,581.307876,581.307876,581.307876
67,0.265873,252,0,0,2.75,2.75,0.01076592,0.01076592,0.265873,0.265873,581.37046,581.37046,581.37046,581.37046
68,0.269841,252,0,0,2.75,2.75,0.01076592,0.01076592,0.269841,0.269841,581.433049,581.433049,581.433049,581.433049
69,0.27381,252,0,0,2.75,2.75,0.01076592,0.01076592,0.27381,0.27381,581.495646,581.495646,581.495646,581.495646
70,0.277778,252,0,0,2.75,2.75,0.01076592,0.01076592,0.277778,0.277778,581.558249,581.558249,581.558249,581.558249
71,0.281746,252,0,0,2.75,2.75,0.01076592,0.01076592,0.281746,0.281746,581.62086,581.62086,581.62086,581.62086
72,0.285714,252,0,0,2.75,2.75,0.01076592,0.01076592,0.285714,0.285714,581.683476,581.683476,581.683476,581.683476
73,0.289683,252,0,0,2.75,2.75,0.01076592,0.01076592,0.289683,0.289683,581.7461,581.7461,581.7461,581.7461
74,0.293651,252,0,0,2.75,2.75,0.01076592,0.01076592,0.293651,0.293651,581.80873,581.80873,581.80873,581.80873
75,0.297619,252,0,0,2.75,2.75,0.01076592,0.01076592,0.297619,0.297619,581.871367,581.871367,581.871367,581.871367
76,0.301587,252,0,0,2.75,2.75,0.01076592,0.01076592,0.301587,0.301587,581.934011,581.934011,581.934011,581.934011
77,0.305556,252,0,0,2.75,2.75,0.01076592,0.01076592,0.305556,0.305556,581.996662,581.996662,581.996662,581.996662
78,0.309524,252,0,0,2.75,2.75,0.01076592,0.01076592,0.309524,0.309524,582.059319,582.059319,582.059319,582.059319
79,0.313492,252,0,0,2.75,2.75,0.01076592,0.01076592,0.313492,0.313492,582.121983,582.121983,582.121983,582.121983
80,0.31746,252,0,0,2.75,2.75,0.01076592,0.01076592,0.31746,0.31746,582.184654,582.184654,582.184654,582.184654
81,0.321429,252,0,0,2.75,2.75,0.01076592,0.01076592,0.321429,0.321429,582.247332,582.247332,582.247332,582.247332
82,0.325397,252,0,0,2.75,2.75,0.01076592,0.01076592,0.325397,0.325397,582.310016,582.310016,582.310016,582.310016
83,0.329365,252,0,0,2.75,2.75,0.01076592,0.01076592,0.329365,0.329365,582.372707,582.372707,582.372707,582.372707
84,0.333333,252,0,0,2.75,2.75,0.01076592,0.01076592,0.333333,0.333333,582.435405,582.435405,582.435405,582.435405
85,0.337302,252,0,0,2.75,2.75,0.01076592,0.01076592,0.337302,0.337302,582.498109,582.498109,582.498109,582.498109
86,0.34127,252,0,0,2.75,2.75,0.01076592,0.01076592,0.34127,0.34127,582.560821,582.560821,582.560821,582.560821
87,0.345238,252,0,0,2.75,2.75,0.01076592,0.01076592,0.345238,0.345238,582.623539,582.623539,582.623539,582.623539
88,0.349206,252,0,0,2.75,2.75,0.01076592,0.01076592,0.349206,0.349206,582.686263,582.686263,582.686263,582.686263
89,0.353175,252,0,0,2.75,2.75,0.01076592,0.01076592,0.353175,0.353175,582.748995,582.748995,582.748995,582.748995
90,0.357143,252,0,0,2.75,2.75,0.01076592,0.01076592,0.357143,0.357143,582.811733,582.811733,582.811733,582.811733
91,0.361111,252,0,0,2.75,2.75,0.01076592,0.01076592,0.361111,0.361111,582.874478,582.874478,582.874478,582.874478
92,0.365079,252,0,0,2.75,2.75,0.01076592,0.01076592,0.365079,0.365079,582.93723,582.93723,582.93723,582.93723
93,0.369048,252,0,0,2.75,2.75,0.01076592,0.01076592,0.369048,0.369048,582.999989,582.999989,582.999989,582.999989
94,0.373016,252,0,0,2.75,2.75,0.01076592,0.01076592,0.373016,0.373016,583.062754,583.062754,583.062754,583.062754
95,0.376984,252,0,0,2.75,2.75,0.01076592,0.01076592,0.376984,0.376984,583.125526,583.125526,583.125526,583.125526
96,0.380952,252,0,0,2.75,2.75,0.01076592,0.01076592,0.380952,0.380952,583.188305,583.188305,583.188305,583.188305
97,0.384921,252,0,0,2.75,2.75,0.01076592,0.01076592,0.384921,0.384921,583.251091,583.251091,583.251091,583.251091
98,0.388889,252,0,0,2.75,2.75,0.01076592,0.01076592,0.388889,0.388889,583.313883,583.313883,583.313883,583.313883
99,0.392857,252,0,0,2.75,2.75,0.01076592,0.01076592,0.392857,0.392857,583.376682,583.376682,583.376682,583.376682
100,0.396825,252,0,0,2.75,2.75,0.01076592,0.01076592,0.396825,0.396825,583.439488,583.439488,583.439488,583.439488
101,0.400794,252,0,0,2.75,2.75,0.01076592,0.01076592,0.400794,0.400794,583.502301,583.502301,583.502301,583.502301
102,0.404762,252,0,0,2.75,2.75,0.01076592,0.01076592,0.404762,0.404762,583.56512,583.56512,583.56512,583.56512
103,0.40873,252,0,0,2.75,2.75,0.01076592,0.01076592,0.40873,0.40873,583.627946,583.627946,583.627946,583.627946
104,0.412698,252,0,0,2.75,2.75,0.01076592,0.01076592,0.412698,0.412698,583.690779,583.690779,583.690779,583.690779
105,0.416667,252,0,0,2.75,2.75,0.01076592,0.01076592,0.416667,0.416667,583.753619,583.753619,583.753619,583.753619
106,0.420635,252,0,0,2.75,2.75,0.01076592,0.01076592,0.420635,0.420635,583.816465,583.816465,583.816465,583.816465
107,0.424603,252,0,0,2.75,2.75,0.01076592,0.01076592,0.424603,0.424603,583.879319,583.879319,583.879319,583.879319
108,0.428571,252,0,0,2.75,2.75,0.01076592,0.01076592,0.428571,0.428571,583.942179,583.942179,583.942179,583.942179
109,0.43254,252,0,0,2.75,2.75,0.01076592,0.01076592,0.43254,0.43254,584.005045,584.005045,584.005045,584.005045
110,0.436508,252,0,0,2.75,2.75,0.01076592,0.01076592,0.436508,0.436508,584.067919,584.067919,584.067919,584.067919
111,0.440476,252,0,0,2.75,2.75,0.01076592,0.01076592,0.440476,0.440476,584.130799,584.130799,584.130799,584.130799
112,0.444444,252,0,0,2.75,2.75,0.01076592,0.01076592,0.444444,0.444444,584.193686,584.193686,584.193686,584.193686
113,0.448413,252,0,0,2.75,2.75,0.01076592,0.01076592,0.448413,0.448413,584.25658,584.25658,584.25658,584.25658
114,0.452381,252,0,0,2.75,2.75,0.01076592,0.01076592,0.452381,0.452381,584.319481,584.319481,584.319481,584.319481
115,0.456349,252,0,0,2.75,2.75,0.01076592,0.01076592,0.456349,0.456349,584.382388,584.382388,584.382388,584.382388
116,0.460317,252,0,0,2.75,2.75,0.01076592,0.01076592,0.460317,0.460317,584.445302,584.445302,584.445302,584.445302
117,0.464286,252,0,0,2.75,2.75,0.01076592,0.01076592,0.464286,0.464286,584.508223,584.508223,584.508223,584.508223
118,0.468254,252,0,0,2.75,2.75,0.01076592,0.01076592,0.468254,0.468254,584.571151,584.571151,584.571151,584.571151
119,0.472222,252,0,0,2.75,2.75,0.01076592,0.01076592,0.472222,0.472222,584.634085,584.634085,584.634085,584.634085
120,0.47619,252,0,0,2.75,2.75,0.01076592,0.01076592,0.47619,0.47619,584.697027,584.697027,584.697027,584.697027
121,0.480159,252,0,0,2.75,2.75,0.01076592,0.01076592,0.480159,0.480159,584.759975,584.759975,584.759975,584.759975
